"name","year","duration","genre","rating","description","director","stars"
"The Gallows","2015","1h 21min","Horror Mystery Thriller","4.3","20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.","Travis Cluff","Reese Mishler Pfeifer Brown Ryan Shoos"
"The Adventures of Rocky & Bullwinkle","2000","1h 32min","Adventure Comedy Family","4.3","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.","Des McAnuff","Robert De Niro Rene Russo Piper Perabo"
"Marmaduke","2010","1h 39min","Comedy Family","4.3","A suburban family moves to a new neighborhood with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.","Tom Dey","Owen Wilson Judy Greer Lee Pace"
"Yoga Hosers","2016","1h 28min","Action Comedy Horror","4.3","Two teenage yoga enthusiasts must do battle with an evil presence that is threatening to rise from its underground lair and endanger their major party plans.","Kevin Smith","Lily-Rose Depp Harley Quinn Smith Johnny Depp"
"Artemis Fowl","2020","1h 35min","Adventure Family Fantasy","4.3","Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father.","Kenneth Branagh","Ferdia Shaw Lara McDonnell Josh Gad"
"Movie 43","2013","1h 30min","Comedy","4.4","A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.","Elizabeth Banks","Emma Stone Stephen Merchant Richard Gere"
"The Human Centipede (First Sequence)","2009","1h 32min","Horror","4.4","A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.","Tom Six","Dieter Laser Winter Williams Ashlynn Yennie"
"Basic Instinct 2","2006","1h 54min","Drama Mystery Thriller","4.4","Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.","Michael Caton-Jones","Sharon Stone David Morrissey David Thewlis"
"Cinderella","2021","1h 52min","Comedy Family Fantasy","4.4","A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true.","Kay Cannon","Camila Cabello Billy Porter Nicholas Galitzine"
"Spy Kids 3: Game Over","2003","1h 24min","Action Adventure Comedy","4.4","Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.","Robert Rodriguez","Daryl Sabara Alexa PenaVega Antonio Banderas"
"Supergirl","1984","2h 4min","Action Adventure Fantasy","4.4","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.","Jeannot Szwarc","Helen Slater Faye Dunaway Peter O'Toole"
"Ghost Rider: Spirit of Vengeance","2011","1h 36min","Action Fantasy Thriller","4.4","Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","Mark Neveldine","Nicolas Cage Ciarán Hinds Idris Elba"
"Stop! Or My Mom Will Shoot","1992","1h 27min","Action Comedy","4.4","A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career.","Roger Spottiswoode","Sylvester Stallone Estelle Getty JoBeth Williams"
"Bio-Dome","1996","1h 28min","Comedy","4.4","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","Jason Bloom","Pauly Shore Stephen Baldwin William Atherton"
"Alvin and the Chipmunks: Chipwrecked","2011","1h 27min","Animation Adventure Comedy","4.4","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.","Mike Mitchell","Justin Long Matthew Gray Gubler Jesse McCartney"
"Cell","2016","1h 38min","Action Adventure Horror","4.4","When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.","Tod Williams","John Cusack Samuel L. Jackson Isabelle Fuhrman"
"Exposed","2016","1h 42min","Crime Drama Mystery","4.4","A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.","Gee Malik Linton","Ana de Armas Keanu Reeves Christopher McDonald"
"Ultraviolet","2006","1h 28min","Action Sci-Fi","4.4","A beautiful haemophage infected with a virus that gives her superhuman powers has to protect a boy in a futuristic world, who is thought to be carrying antigens that would destroy all hæmophages.","Kurt Wimmer","Milla Jovovich Cameron Bright Nick Chinlund"
"Police Academy 6: City Under Siege","1989","1h 24min","Comedy Crime","4.4","Those bumbling cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.","Peter Bonerz","Bubba Smith David Graf Michael Winslow"
"Grudge","2019","1h 34min","Fantasy Horror","4.4","A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.","Nicolas Pesce","Tara Westwood Junko Bailey David Lawrence Brown"
"The Last Thing He Wanted","2020","1h 55min","Crime Drama Mystery","4.4","A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.","Dee Rees","Anne Hathaway Ben Affleck Rosie Perez"
"Look Who's Talking Now","1993","1h 36min","Comedy Family Romance","4.4","The dogs can talk at a family of 4, where mom loses her job the same day dad gets a job as pilot for a cute, single boss.","Tom Ropelewski","John Travolta Kirstie Alley David Gallagher"
"LOL","2012","1h 37min","Comedy Drama Romance","4.4","As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.","Lisa Azuelos","Miley Cyrus Douglas Booth Ashley Greene"
"Zoom","2006","1h 33min","Action Adventure Comedy","4.4","Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.","Peter Hewitt","Tim Allen Courteney Cox Chevy Chase"
"Getaway","2013","1h 30min","Action Thriller","4.4","To save his kidnapped wife, Brent Magna must drive at the orders of a mysterious man.","Courtney Solomon","Ethan Hawke Selena Gomez Jon Voight"
"Setup","2011","1h 25min","Action Crime Drama","4.4","A group of friends become involved in a potentially deadly diamond heist.","Mike Gunther","50 Cent Bruce Willis Ryan Phillippe"
"Sex and the City 2","2010","2h 26min","Comedy Drama Romance","4.5","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.","Michael Patrick King","Sarah Jessica Parker Kim Cattrall Kristin Davis"
"Death Note","2017","1h 41min","Crime Drama Fantasy","4.5","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.","Adam Wingard","Nat Wolff LaKeith Stanfield Margaret Qualley"
"xXx²: The Next Level","2005","1h 41min","Action Adventure Crime","4.5","Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States.","Lee Tamahori","Ice Cube Samuel L. Jackson Willem Dafoe"
"Little Man","2006","1h 38min","Comedy Crime","4.5","A wannabe-dad mistakes a vertically-challenged criminal on the lam for his newly-adopted son.","Keenen Ivory Wayans","Shawn Wayans Marlon Wayans Kerry Washington"
"Space Jam: A New Legacy","2021","1h 55min","Animation Adventure Comedy","4.5","A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with the Looney Tunes to win a basketball game.","Malcolm D. Lee","LeBron James Don Cheadle Cedric Joe"
"Rings","2017","1h 42min","Drama Horror Mystery","4.5","A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.","F. Javier Gutiérrez","Matilda Lutz Alex Roe Johnny Galecki"
"Jason X","2001","1h 32min","Action Horror Sci-Fi","4.5","Jason Voorhees is cryogenically frozen at the beginning of the 21st century, and is discovered in the 25th century and taken to space. He gets thawed, and begins stalking and killing the crew of the spaceship that's transporting him.","James Isaac","Kane Hodder Lexa Doig Jeff Geddis"
"Skyline","2010","1h 32min","Action Sci-Fi Thriller","4.5","Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.","Colin Strause","Eric Balfour Donald Faison Scottie Thompson"
"Nutty Professor II: The Klumps","2000","1h 46min","Comedy Romance Sci-Fi","4.5","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines, and his reputation, are threatened by his evil clone Buddy Love.","Peter Segal","Eddie Murphy Janet Jackson Larry Miller"
"Ouija","2014","1h 29min","Horror Mystery Thriller","4.5","Terror awaits five friends who unwittingly awaken a dark power by using an antique Ouija board.","Stiles White","Olivia Cooke Ana Coto Daren Kagasoff"
"Friday the 13th Part VIII: Jason Takes Manhattan","1989","1h 40min","Adventure Horror Thriller","4.5","Jason Voorhees is accidentally awakened from his watery grave and ends up stalking a ship full of graduating high-school students headed to Manhattan, New York.","Rob Hedden","Jensen Daggett Kane Hodder Todd Caldecott"
"Big Mommas: Like Father, Like Son","2011","1h 47min","Action Comedy Crime","4.5","Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.","John Whitesell","Martin Lawrence Brandon T. Jackson Jessica Lucas"
"Paul Blart: Mall Cop 2","2015","1h 34min","Action Comedy Crime","4.5","Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.","John Whitesell","Martin Lawrence Brandon T. Jackson Jessica Lucas"
"AVPR: Aliens vs Predator - Requiem","2007","1h 34min","Action Horror Sci-Fi","4.6","Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.","Colin Strause","Reiko Aylesworth Steven Pasquale Shareeka Epps"
"Fifty Shades Darker","2017","1h 58min","Drama Mystery Romance","4.6","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.","James Foley","Dakota Johnson Jamie Dornan Eric Johnson"
"Fifty Shades Freed","2018","1h 45min","Drama Mystery Romance","4.6","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.","James Foley","Dakota Johnson Jamie Dornan Eric Johnson"
"Meet the Blacks","2016","1h 34min","Comedy Horror","4.8","As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.","Deon Taylor","Mike Epps Zulay Henao Alex Henderson"
"Daniel the Wizard","2004","1h 21min","Comedy Crime Fantasy","1.2","Evil assassins want to kill Daniel Kublbock, the third runner up for the German Idols.","Ulli Lommel","Daniel Küblböck Ulli Lommel Rudolf Waldemar Brem"
"Smolensk","2016","2h","Drama Thriller","1.2","An inspired story of people affected by the 2010 crash of Polish Air Force Flight 101 in Smolensk, Russia. Fiery reporter Nina won't accept the story she's been given and is determined to find the truth.","Antoni Krauze","Beata Fido Maciej Póltorak Aldona Struzik"
"Foodfight!","2012","1h 31min","Animation Action Adventure","1.3","The evil Brand X joins a supermarket that becomes a city after closing time.","Lawrence Kasanoff","Hilary Duff Haylie Duff Charlie Sheen"
"Saving Christmas","2014","1h 19min","Comedy Family","1.3","His annual Christmas party faltering thanks to his cynical brother-in-law, former Growing Pains star Kirk Cameron attempts to save the day by showing him that Jesus Christ remains a crucial component of the over-commercialized holiday..","Darren Doane","Kirk Cameron Darren Doane Bridgette Cameron"
"Superbabies: Baby Geniuses 2","2004","1h 28min","Comedy Family Sci-Fi","1.5","A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.","Bob Clark","Jon Voight Scott Baio Vanessa Angel"
"Turks in Space","2006","1h 50min","Action Comedy Sci-Fi","1.5","The son of ""The Man Who Saved the World"" is searching for a crew member of his spaceship who has been missing for eight years.","Kartal Tibet","Cüneyt Arkin Mehmet Ali Erbil Deniz Seki"
"The Cost of Deception","2021","2h 5min","Action Crime Drama","1.5","When a young, ambitious market researcher finds out her boss is involved in the leaking of a scandalous Prime Minister speech, she decides to investigate the case to gain a position among the big-shots. Based on actual events.","Keith English","Vivianne Bánovits András Mózes Barna Bokor"
"Birdemic: Shock and Terror","2010","1h 45min","Horror Thriller","1.7","A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. As the death toll rises, two citizens manage to fight back, but will they survive Birdemic?","James Nguyen","Alan Bagh Whitney Moore Tippi Hedren"
"Manos: The Hands of Fate","1966","1h 10min","Horror","1.7","A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.","Harold P. Warren","Tom Neyman John Reynolds Diane Adelson"
"Pledge This!","2006","1h 31min","Comedy","1.7","At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.","William Heins","Paris Hilton Simon Rex Paula Garcés"
"The Oogieloves in the Big Balloon Adventure","2012","1h 28min","Adventure Family Fantasy","1.7","The Oogieloves, Goobie, Zoozie, and Toofie, set out to find five magical balloons that will make their good friend Schluufy's surprise birthday party extra special.","Matthew Diamond","Jaime Pressly Cloris Leachman Christopher Lloyd"
"Going Overboard","1989","1h 39min","Comedy","1.8","A struggling young comedian takes a menial job on a cruise ship hoping for his big chance to make it in the world of cruise-ship comedy.","Valerie Breiman","Adam Sandler Billy Bob Thornton Billy Zane"
"Radhe","2021","1h 53min","Action Thriller","1.8","An honest cop is determined to bring down a corrupt drug mafia, who targets youth to drive towards drug addiction.","Prabhu Deva","Salman Khan Disha Patani Randeep Hooda"
"Disaster Movie","2008","1h 27min","Comedy Sci-Fi","1.9","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.","Jason Friedberg","Carmen Electra Vanessa Lachey Nicole Parker"
"From Justin to Kelly","2003","1h 21min","Comedy Music Musical","1.9","A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.","Robert Iscove","Kelly Clarkson Justin Guarini Katherine Bailess"
"Race 3","2018","2h 40min","Action Thriller","1.9","Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.","Remo D'Souza","Anil Kapoor Salman Khan Bobby Deol"
"The Hottie & the Nottie","2008","1h 31min","Comedy Romance","2.0","A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.","Tom Putnam","Paris Hilton Joel David Moore Christine Lakin"
"Enes Batur: Hayal Mi Gerçek Mi?","2018","1h 50min","Comedy","2.0","Enes Batur has to decide between going to college or being a professional YouTuber.","Kamil Çetin","Enes Batur Baran Teyin Mete Güler"
"House of the Dead","2003","1h 30min","Action Adventure Horror","2.1","A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.","Uwe Boll","Jonathan Cherry Tyron Leitso Clint Howard"
"Baaghi 3","2020","2h 23min","Action","2.2","A man embarks on a bloody rampage to save his kidnapped brother.","Ahmed Khan","Tiger Shroff Riteish Deshmukh Shraddha Kapoor"
"Student of the Year 2","2019","2h 26min","Action Comedy Drama","2.2","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.","Punit Malhotra","Tiger Shroff Ananya Panday Tara Sutaria"
"Heropanti 2","2022","2h 25min","Action Comedy Crime","2.2","Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?","Ahmed Khan","Tiger Shroff Nawazuddin Siddiqui Kriti Sanon"
"Hobgoblins","1988","1h 28min","Comedy Horror Sci-Fi","2.2","A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.","Rick Sloane","Tom Bartlett Paige Sullivan Steven Boggs"
"Son of the Mask","2005","1h 34min","Comedy Family Fantasy","2.3","Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.","Lawrence Guterman","Jamie Kennedy Traylor Howard Alan Cumming"
"Who's Your Caddy?","2007","1h 33min","Comedy Sport","2.3","When a rap mogul from Atlanta tries to join a conservative country club in the Carolinas he runs into fierce opposition from the board President- but it's nothing that he and his entourage can't handle.","Don Michael Paul","Big Boi Jeffrey Jones Terry Crews"
"Alone in the Dark","2005","1h 39min","Action Horror Sci-Fi","2.4","A detective of the paranormal slowly unravels mysterious events with deadly results.","Uwe Boll","Christian Slater Tara Reid Stephen Dorff"
"Glitter","2001","1h 44min","Drama Music Romance","2.4","A young singer dates a disc jockey who helps her get into the music business, but their relationship becomes complicated as she ascends to super stardom.","Vondie Curtis-Hall","Mariah Carey Eric Benét Max Beesley"
"War of the Worlds","2025","1h 31min","Horror Sci-Fi Thriller","2.5","A colossal invasion of Earth is coming in this off-kilter take on the legendary novel of the same name, filled with present-day themes of technology, government surveillance, and privacy.","Rich Lee","Ice Cube Eva Longoria Iman Benson"
"Epic Movie","2007","1h 26min","Adventure Comedy Fantasy","2.5","A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.","Jason Friedberg","Kal Penn Jennifer Coolidge Fred Willard"
"Dragonball: Evolution","2009","1h 25min","Action Adventure Fantasy","2.5","The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.","James Wong","Justin Chatwin James Marsters Chow Yun-Fat"
"Battlefield Earth","2000","1h 57min","Action Adventure Sci-Fi","2.5","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.","Roger Christian","John Travolta Forest Whitaker Barry Pepper"
"Cosmic Sin","2021","1h 28min","Action Sci-Fi","2.5","Seven rogue soldiers launch a preemptive strike against a newly discovered alien civilization in the hopes of ending an interstellar war before it starts.","Edward Drake","Frank Grillo Bruce Willis Brandon Thomas Lee"
"Laxmii","2020","2h 21min","Action Comedy Horror","2.5","Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.","Raghava Lawrence","Akshay Kumar Kiara Advani Sharad Kelkar"
"Jeepers Creepers: Reborn","2022","1h 28min","Horror Mystery Thriller","2.6","Forced to travel with her boyfriend, Laine begins to experience premonitions associated with the urban myth of The Creeper. She believes that something supernatural has been summoned - and that she is at the center of it all.","Timo Vuorensola","Jarreau Benjamin Sydney Craven Imran Adams"
"Adipurush","2023","2h 59min","Action Drama","2.6","A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the demon king Lankesh.","Om Raut","Prabhas Kriti Sanon Saif Ali Khan"
"Baby Geniuses","1999","1h 37min","Comedy Crime Family","2.6","Scientists hold super intelligent talking babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.","Bob Clark","Kathleen Turner Christopher Lloyd Kim Cattrall"
"Liger","2022","2h 20min","Action Drama Romance","2.6","A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.","Puri Jagannadh","Vijay Deverakonda Ananya Panday Ramya Krishnan"
"365 Days: This Day","2022","1h 51min","Drama Romance","2.7","Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.","Barbara Bialowas","Anna-Maria Sieklucka Michele Morrone Simone Susinna"
"The Human Centipede III (Final Sequence)","2015","1h 42min","Comedy Horror","2.7","Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems.","Tom Six","Dieter Laser Laurence R. Harvey Eric Roberts"
"Gigli","2003","2h 1min","Comedy Crime Romance","2.7","Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney, and a beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.","Martin Brest","Ben Affleck Jennifer Lopez Justin Bartha"
"Gunday","2014","2h 32min","Action Drama Musical","2.7","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.","Ali Abbas Zafar","Ranveer Singh Arjun Kapoor Priyanka Chopra Jonas"
"Gully","2019","1h 24min","Crime Drama","2.7","It follows three disaffected teens through the underbelly of Los Angeles as they navigate the challenges of being marginalized youth in an unforgiving America. When a dark secret is revealed, their friendship may be their only salvation.","Nabil Elderkin","Kelvin Harrison Jr. Jacob Latimore Charlie Plummer"
"Cats","2019","1h 50min","Comedy Drama Family","2.8","A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.","Tom Hooper","James Corden Judi Dench Jason Derulo"
"Meet the Spartans","2008","1h 24min","Comedy Fantasy","2.8","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.","Jason Friedberg","Sean Maguire Kevin Sorbo Carmen Electra"
"Date Movie","2006","1h 23min","Comedy Romance","2.8","Spoof of romantic comedies which focuses on a woman, her crush, her parents, and her father.","Aaron Seltzer","Alyson Hannigan Adam Campbell Fred Willard"
"Santa Claus Conquers the Martians","1964","1h 21min","Adventure Comedy Family","2.8","The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.","Nicholas Webster","John Call Leonard Hicks Vincent Beck"
"The Next 365 Days","2022","1h 52min","Drama Romance","2.9","Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.","Barbara Bialowas","Anna-Maria Sieklucka Michele Morrone Simone Susinna"
"Winnie-the-Pooh: Blood and Honey","2023","1h 24min","Horror","2.9","After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.","Rhys Frake-Waterfield","Nikolai Leon Maria Taylor Natasha Rose Mills"
"Anti-Life","2020","1h 32min","Action Horror Sci-Fi","2.9","On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.","John Suits","Cody Kearsley Bruce Willis Rachel Nichols"
"Jiu Jitsu","2020","1h 42min","Action Sci-Fi Thriller","2.9","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.","Dimitri Logothetis","Alain Moussi Nicolas Cage Raymond Pinharry"
"Tees Maar Khan","2010","2h 15min","Comedy Crime","2.9","Posing as a movie director, a conman attempts to trick an entire village into helping him rob a treasure-laden train.","Farah Khan","Akshay Kumar Katrina Kaif Akshaye Khanna"
"BloodRayne","2005","1h 35min","Action Fantasy Horror","3.0","In the eighteenth century, a vampire escapes from the freak show, in which she once participated, and teams up with a group of vampire slayers to kill the man who raped her mother.","Uwe Boll","Kristanna Loken Ben Kingsley Michelle Rodriguez"
"3 Ninjas: High Noon at Mega Mountain","1998","1h 33min","Action Adventure Comedy","3.0","The three unstoppable Ninja brothers fight to save their hero (Hulk Hogan) and Mega Mountain Amusement Park from the vicious kid-hating Medusa (Loni Anderson).","Sean McNamara","Loni Anderson Hulk Hogan Jim Varney"
"Steel","1997","1h 37min","Action Adventure Crime","3.0","A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.","Kenneth Johnson","Shaquille O'Neal Annabeth Gish Judd Nelson"
"Dabangg 3","2019","2h 40min","Action Comedy Crime","3.0","The past comes back to haunt the unflinching Inspector Chulbul Pandey when an old enemy, Bali Singh, returns and places his family in danger.","Prabhu Deva","Salman Khan Sudeep Sonakshi Sinha"
"Troll 2","1990","1h 35min","Comedy Fantasy Horror","3.0","A family moving to a rural town is stalked by goblins that turn people into plants; young Joshua tries to stop them after his deceased grandfather’s spirit warns him.","Claudio Fragasso","Michael Stephenson, George Hardy, Connie McFarland, Jason Wright"
"Jaws: The Revenge","1987","1h 29min","Adventure Horror Thriller","3.1","Widowed Ellen Brody is convinced a great white shark is seeking revenge on her family, particularly after her son’s death, following her to the Bahamas where new terror unfolds.","Joseph Sargent","Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson"
"Left Behind","2014","1h 50min","Action Fantasy Sci-Fi","3.1","A small group of survivors is left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.","Vic Armstrong","Nicolas Cage Lea Thompson Cassi Thomson"
"Rollerball","2002","1h 38min","Action Sci-Fi Sport","3.1","The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.","John McTiernan","Chris Klein Jean Reno LL Cool J"
"Kazaam","1996","1h 33min","Comedy Family Fantasy","3.2","A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests.","Paul Michael Glaser","Shaquille O'Neal Francis Capra Ally Walker"
"Bratz","2007","1h 50min","Comedy Family Music","3.2","During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.","Sean McNamara","Skyler Shaye Janel Parrish Logan Browning"
"Daddy Day Camp","2007","1h 29min","Comedy Family","3.2","During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.","Sean McNamara","Skyler Shaye Janel Parrish Logan Browning"
"The NeverEnding Story III: Return to Fantasia","1994","1h 40min","Adventure Comedy Family","3.2","A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.","Peter MacDonald","Jason James Richter Melody Kay Jack Black"
"Far Cry","2008","1h 35min","Action Adventure Sci-Fi","3.2","An ex-special forces soldier turned boatman is hired by a journalist to investigate a top-secret military base on a nearby island.","Uwe Boll","Til Schweiger Emmanuelle Vaugier Natalia Avelon"
"Goal III: Taking on the World","2009","1h 36min","Drama Romance Sport","3.2","The heroes compete on the greatest stage of all, the FIFA World Cup Finals.","Andrew Morahan","JJ Feild Leo Gregory Kuno Becker"
"365 Days","2020","1h 54min","Drama Romance","3.3","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas","Anna-Maria Sieklucka Michele Morrone Bronislaw Wroclawski"
"Jack and Jill","2011","1h 31min","Comedy","3.3","Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.","Dennis Dugan","Adam Sandler Katie Holmes Al Pacino"
"Slender Man","2018","1h 33min","Horror Mystery Thriller","3.3","In a small town in Massachusetts, a group of friends, fascinated by the internet lore of the Slender Man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing.","Sylvain White","Joey King Julia Goldani Telles Jaz Sinclair"
"The Starving Games","2013","1h 23min","Adventure Comedy Sci-Fi","3.3","In this ""Hunger Games"" spoof, Kantmiss Evershot must fight for her life in the 75th annual Starving Games, in which she could also win an old ham, a coupon for a foot-long sub, and a partially-eaten pickle.","Jason Friedberg","Maiara Walsh Brant Daugherty Cody Christian"
"Captain America","1990","1h 37min","Action Adventure Sci-Fi","3.3","Frozen in the ice for decades, Captain America is freed to battle against archcriminal The Red Skull.","Albert Pyun","Matt Salinger Ronny Cox Ned Beatty"
"Bucky Larson: Born to Be a Star","2011","1h 37min","Comedy","3.3","A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.","Tom Brady","Nick Swardson Don Johnson Christina Ricci"
"The Open House","2018","1h 34min","Horror Thriller","3.3","A teenager and his mother find themselves besieged by threatening forces when they move into a new house.","Matt Angel","Dylan Minnette Piercey Dalton Patricia Bethune"
"Hercules in New York","1970","1h 31min","Adventure Comedy Fantasy","3.3","Hercules comes to Earth where he finds true love and starts a promising career in the wrestling and power lifting business.","Arthur Allan Seidelman","Arnold Stang Arnold Schwarzenegger Deborah Loomis"
